LOJAS RENNER S.A.;;;
DFs Consolidadas / Balanço Patrimonial Passivo - (Reais Mil);;;
;;;
;;;
Conta;Descrição;30/09/2015;31/12/2014
2.01.06.01.04;Provisões Cíveis;15.652;14.974
2.01.06.01.05;Provisões para riscos trabalhistas;10.609;9.024
2.01.06.02;Outras Provisões;;
2.01.06.02.01;Provisões para Garantias;;
2.01.06.02.02;Provisões para Reestruturação;;
2.01.06.02.03;Provisões para Passivos Ambientais e de Desativação;;
2.01.07;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;;
2.01.07.01;Passivos sobre Ativos Não-Correntes a Venda;;
2.01.07.02;Passivos sobre Ativos de Operações Descontinuadas;;
2.02;Passivo Não Circulante;1.235.699;1.428.910
2.02.01;Empréstimos e Financiamentos;1.198.270;1.395.469
2.02.01.01;Empréstimos e Financiamentos;473.594;457.770
2.02.01.01.01;Em Moeda Nacional;473.594;457.770
2.02.01.01.02;Em Moeda Estrangeira;;
2.02.01.02;Debêntures;683.035;887.839
2.02.01.03;Financiamento por Arrendamento Financeiro;41.641;49.860
2.02.02;Outras Obrigações;4.238;7.182
2.02.02.01;Passivos com Partes Relacionadas;;
2.02.02.01.01;Débitos com Coligadas;;
2.02.02.01.03;Débitos com Controladores;;
2.02.02.01.04;Débitos com Outras Partes Relacionadas;;
2.02.02.02;Outros;4.238;7.182
2.02.02.02.01;Obrigações por Pagamentos Baseados em Ações;;
2.02.02.02.02;Adiantamento para Futuro Aumento de Capital;;
2.02.02.02.03;Impostos e contribuições a recolher;169;300
2.02.02.02.04;Outros;3.102;6.882
2.02.02.02.05;Instrumentos Financeiros Derivativos;967;0
2.02.03;Tributos Diferidos;;
2.02.03.01;Imposto de Renda e Contribuição Social Diferidos;;
2.02.04;Provisões;33.191;26.259
2.02.04.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;33.191;26.259
2.02.04.01.01;Provisões Fiscais;33.191;26.259
2.02.04.01.02;Provisões Previdenciárias e Trabalhistas;;
2.02.04.01.03;Provisões para Benefícios a Empregados;;
2.02.04.01.04;Provisões Cíveis;;
2.02.04.02;Outras Provisões;;
2.02.04.02.01;Provisões para Garantias;;
2.02.04.02.02;Provisões para Reestruturação;;
2.02.04.02.03;Provisões para Passivos Ambientais e de Desativação;;
2.02.05;Passivos sobre Ativos Não-Correntes a Venda e Descontinuados;;
2.02.05.01;Passivos sobre Ativos Não-Correntes a Venda;;
2.02.05.02;Passivos sobre Ativos de Operações Descontinuadas;;
2.02.06;Lucros e Receitas a Apropriar;;
2.02.06.01;Lucros a Apropriar;;
2.02.06.02;Receitas a Apropriar;;
2.02.06.03;Subvenções de Investimento a Apropriar;;
2.03;Patrimônio Líquido Consolidado;2.173.684;1.855.268
2.03.01;Capital Social Realizado;1.130.364;750.853
2.03.02;Reservas de Capital;265.368;245.860
2.03.02.01;Ágio na Emissão de Ações;;
2.03.02.02;Reserva Especial de Ágio na Incorporação;118.165;118.165
2.03.02.03;Alienação de Bônus de Subscrição;;
2.03.02.04;Opções Outorgadas;147.203;127.695
2.03.02.05;Ações em Tesouraria;;
2.03.02.06;Adiantamento para Futuro Aumento de Capital;;
2.03.03;Reservas de Reavaliação;;
2.03.04;Reservas de Lucros;417.831;839.257
2.03.04.01;Reserva Legal;63.523;63.523
2.03.04.02;Reserva Estatutária;;
2.03.04.03;Reserva para Contingências;;
2.03.04.04;Reserva de Lucros a Realizar;;
2.03.04.05;Reserva de Retenção de Lucros;;
2.03.04.06;Reserva Especial para Dividendos Não Distribuídos;;
2.03.04.07;Reserva de Incentivos Fiscais;;
2.03.04.08;Dividendo Adicional Proposto;0;67.118
2.03.04.09;Ações em Tesouraria;;
2.03.04.10;Reserva para investimento e expansão;354.308;708.616
2.03.05;Lucros/Prejuízos Acumulados;247.027;0
2.03.06;Ajustes de Avaliação Patrimonial;113.094;19.298
2.03.07;Ajustes Acumulados de Conversão;;
2.03.08;Outros Resultados Abrangentes;;
2.03.09;Participação dos Acionistas Não Controladores;;
